id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9979,0.2583,0.7397,"nursing, completed, medical, patients, at",5
34470,photographer,M,3,photographer,0.992,0.9571,0.0349,"photography, photographer, photographic, professional, but",5
9342,professor,M,0,professor,0.9964,0.9897,0.0066,"research, faculty, faculty, experience, academic",5
30362,professor,M,0,professor,0.9725,0.7522,0.2203,"ieee, research, information, antenna, member",5
90967,professor,M,0,professor,0.9997,0.9994,0.0003,"editorial, materials, university, science, postdoctoral",5
13344,attorney,M,2,attorney,0.1319,0.0914,0.0404,"fiction, journal, passion, years, ago",5
6239,journalist,M,4,journalist,0.9965,0.9788,0.0177,"reported, markets, and, lebanon, has",5
42028,attorney,F,2,attorney,0.3295,0.1068,0.2228,"country, pbs, enjoys, smothered, documentaries",5
90212,architect,F,10,architect,0.9945,0.8229,0.1715,"architectural, buildings, progressive, construction, on",5
43953,teacher,F,7,teacher,0.9646,0.8451,0.1195,"students, students, learning, kids, hashtag",5
27966,professor,F,0,professor,0.9963,0.9942,0.0021,"professor, assistant, university, department, ph",5
41556,teacher,M,7,teacher,0.4996,0.2293,0.2702,"curriculum, school, school, university, traveled",5
43148,professor,M,0,professor,0.9977,0.9889,0.0088,"research, haissam, instructor, university, university",5
93200,professor,F,0,professor,0.9941,0.9855,0.0086,"research, interests, methodologies, courses, teaching",5
46307,physician,F,1,physician,0.9947,0.0136,0.981,"physician, paramedic, assistant, community, responder",5
61841,teacher,F,7,teacher,0.8903,0.8812,0.0091,"teachers, educators, congratulatory, and, student",5
23333,teacher,F,7,teacher,0.9931,0.9523,0.0408,"elementary, graduate, bachelor, education, youngstown",5
15551,attorney,F,2,attorney,0.9991,0.1547,0.8444,"law, juris, licensed, laude, magna",5
90631,journalist,F,4,journalist,0.9965,0.988,0.0085,"contributor, media, regular, and, written",5
54445,professor,F,0,professor,0.9782,0.6499,0.3283,"sch, biochemical, ucla, fellowship, uw",5
93903,professor,M,0,professor,0.8627,0.8153,0.0475,"editor, dr, graduate, canada, emergency",5
16348,physician,F,1,physician,0.9994,0.8412,0.1582,"practices, medicine, medicine, medical, specializes",5
46287,professor,F,0,professor,0.6459,0.0322,0.6137,"research, examining, include, interests, york",5
72503,physician,M,1,physician,0.9395,0.9606,-0.0211,"dr, medicine, schifter, dr, residency",5
4602,physician,F,1,physician,0.9995,0.8869,0.1125,"medicine, croteau, practices, immunology, hospital",5
49360,attorney,M,2,attorney,0.8717,0.3518,0.5199,"408, with, autism, reached, parents",5
42951,professor,M,0,professor,0.9163,0.0326,0.8836,"funded, science, has, university, was",5
77124,professor,M,0,professor,0.9987,0.9943,0.0044,"sharakhov, phd, editorial, dr, dr",5
39711,dentist,M,8,dentist,0.9977,0.0085,0.9891,"dentist, dr, practice, dedham, patient",5
30282,teacher,M,7,teacher,0.4361,0.3132,0.1229,"focuses, presentation, experiences, adult, leadership",5
33409,professor,M,0,professor,0.6717,0.3644,0.3073,"university, physician, consultant, pittsburgh, pittsburgh",5
36561,model,M,12,model,0.999,0.9972,0.0018,"model, 185cm, is, [UNK], determined",5
10637,professor,M,0,professor,0.5806,0.0441,0.5365,"french, university, faculty, department, started",5
24817,attorney,F,2,attorney,0.4385,0.1763,0.2622,"texas, think, argues, brand, been",5
31505,software engineer,M,15,software engineer,0.956,0.4188,0.5372,"application, development, system, web, driven",5
58312,journalist,F,4,journalist,0.9972,0.9966,0.0006,"newspapers, worked, internships, news, nepszabadsag",5
42143,psychologist,M,6,psychologist,0.9944,0.8388,0.1556,"psychotherapy, psychotherapeutic, counsellor, psychology, instructor",5
4145,attorney,F,2,attorney,0.9878,0.9521,0.0356,"law, ohio, degree, university, business",5
64458,photographer,M,3,photographer,0.6764,0.2505,0.4259,"photography, film, toward, in, focus",5
74377,psychologist,M,6,psychologist,0.2829,0.1032,0.1797,"recuperating, while, human, discovers, the",5
20281,professor,M,0,professor,0.9688,0.9214,0.0474,"pharmacogenomics, lab, krynetskiy, bioorganic, received",5
55020,photographer,M,3,photographer,0.9601,0.7054,0.2548,"models, models, studios, results, studios",5
74809,psychologist,F,6,psychologist,0.8067,0.3484,0.4583,"counselling, body, image, book, on",5
27933,professor,M,0,professor,0.9983,0.9962,0.0021,"arrival, faculty, prior, professor, ucla",5
11662,professor,F,0,professor,0.9995,0.9994,0.0,"research, faculty, university, ph, eylul",5
83094,professor,M,0,professor,0.9855,0.9498,0.0357,"research, program, interests, fathering, director",5
42156,physician,M,1,physician,0.9426,0.9943,-0.0517,"hospital, affiliations, medical, dr, training",5
15615,software engineer,M,15,software engineer,0.7008,0.8097,-0.1089,"based, technology, microsystems, startup, java",5
