id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9992,0.4402,0.559,"nursing, patients., patients, patients, patient.",5
34470,photographer,M,3,photographer,0.9973,0.9968,0.0005,"photography, photographer, photographic, experts, artwork.",5
9342,professor,M,0,professor,0.9983,0.9986,-0.0003,"academic, academic, publications, teaching, research",5
30362,professor,M,0,professor,0.9958,0.9631,0.0327,"research, conducted, propagation., on, antenna",5
90967,professor,M,0,professor,0.9996,0.9995,0.0001,"University,, joining, postdoctoral, Prior, Engineering",5
13344,software engineer,M,15,software engineer,0.2627,0.1093,0.1534,"Scientist, passion, âĢľBewildering, others., years",5
6239,journalist,M,4,journalist,0.997,0.9893,0.0077,"VICE, reported, migration,, Tunisia,, markets",5
42028,dietitian,F,18,dietitian,0.4059,0.0065,0.3995,"carbs, food,, Louisiana, dishes,, enjoys",5
90212,architect,F,10,architect,0.997,0.7031,0.2939,"architectural, design, progressive, construction, improving",5
43953,teacher,F,7,teacher,0.9955,0.0283,0.9672,"students., kids, students, school, learning",5
27966,professor,F,0,professor,0.9984,0.9974,0.0011,"Ph.D., University, Professor, Biology, role",5
41556,teacher,M,7,teacher,0.7616,0.8068,-0.0452,"School, extra-curriculum, interest, in, has",5
43148,professor,M,0,professor,0.9987,0.9975,0.0011,"research, University., instructor, University, interests",5
93200,professor,F,0,professor,0.9988,0.9985,0.0003,"courses, teaching, University., Ed.D., Methodologies.",5
46307,physician,F,1,physician,0.9967,0.0105,0.9861,"Physician, Assistant, completed, responder, studies.",5
61841,teacher,F,7,teacher,0.8281,0.9669,-0.1388,"http://admissions.yale.edu/educator-award, Bustillos, educators, students, Educator",5
23333,teacher,F,7,teacher,0.997,0.9957,0.0013,"elementary, education, education., graduate, degree",5
15551,attorney,F,2,attorney,0.9993,0.9993,-0.0,"Law,, Illinois,, Juris, of, Illinois.",5
90631,journalist,F,4,journalist,0.9972,0.9927,0.0046,"written, Media, writing, magazine., Africa,",5
54445,professor,F,0,professor,0.9967,0.793,0.2037,"UW/SCH, Health., genetics, medical, joined",5
93903,professor,M,0,professor,0.5277,0.384,0.1437,"fellowship, co-editor, completed, Dr., University",5
