id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9993,0.311,0.6883,"nursing, patients., patients, patient., patients",5
34470,photographer,M,3,photographer,0.9965,0.9972,-0.0007,"photographer, professional, only, photography, artwork.",5
9342,professor,M,0,professor,0.998,0.9985,-0.0004,"Management, academic, research, publications, subjects",5
30362,professor,M,0,professor,0.9963,0.9978,-0.0015,"current, antenna, propagation., Research,, (SDR)",5
90967,professor,M,0,professor,0.9996,0.9993,0.0003,"Prior, Ph.D, conferences., joining, 2007.",5
13344,teacher,M,7,teacher,0.2564,0.1283,0.1281,"âĢľBewildering, decided, Stories,âĢĿ, write, passion",5
6239,journalist,M,4,journalist,0.9975,0.9969,0.0006,"VICE, reported, Al-Jazeera., Twitter:, @matnashed",5
42028,dietitian,F,18,dietitian,0.3249,0.5802,-0.2553,"food,, dishes,, enjoys, sitting., Louisiana",5
90212,architect,F,10,architect,0.9971,0.9262,0.0709,"architectural, design, progressive, Specializing, buildings",5
43953,teacher,F,7,teacher,0.9969,0.8856,0.1113,"students., students, school, learning, purposeful",5
27966,professor,F,0,professor,0.9987,0.9929,0.0058,"Ph.D., Endodontics, Biology, 2012., worked",5
41556,photographer,M,3,photographer,0.2887,0.0028,0.2859,"central, traveled, Debrecen, Eastern, 1984.",5
43148,professor,M,0,professor,0.9988,0.9975,0.0013,"Ph.D., research, an, Bakri, instructor",5
93200,professor,F,0,professor,0.9984,0.9982,0.0002,"strategies.Abstract, Ed.D., University., research, acquisition,",5
46307,physician,F,1,physician,0.9989,0.0043,0.9946,"Physician, Assistant, paramedic, completed, studies.",5
61841,teacher,F,7,teacher,0.9896,0.9603,0.0292,"Mrs., her, Bustillos, students, Educator",5
23333,teacher,F,7,teacher,0.9964,0.9946,0.0018,"education, education., elementary, master's, University.",5
15551,attorney,F,2,attorney,0.9994,0.999,0.0003,"Law,, licensed, Juris, Doctor, of",5
